,scene_num,what,who,directions
674,128,direction,,
675,129,scene,,
676,130,direction,,
677,130,dialog,BRAND,
678,130,direction,,
679,130,dialog,BRAND,(CONT'D)
680,130,dialog,COOPER,
681,130,dialog,BRAND,
682,130,dialog,COOPER,
683,130,dialog,BRAND,(WRY)
684,130,direction,,
685,130,dialog,COOPER,
686,130,dialog,BRAND,
687,130,direction,,
688,131,scene,,
689,132,direction,,
690,132,direction,,
691,132,dialog,CASE,
692,132,direction,,
693,132,dialog,CASE,(CONT'D)
694,132,direction,,
695,132,dialog,COOPER,
696,132,direction,,
697,132,dialog,ROTH,(SMILES)
698,132,dialog,DOYLE,(LAUGHS)
699,132,dialog,ROTH,(SHRUGS)
700,132,direction,,
701,132,dialog,DOYLE,(LOW)
702,132,direction,,
703,132,dialog,CASE,
704,132,direction,,
705,132,dialog,CASE,(CONT'D)
706,132,dialog,COOPER,
707,132,direction,,
708,132,dialog,ROTH,(MORE)
709,132,dialog,ROTH,(CONT'D)
710,132,direction,,
711,132,dialog,COOPER,
712,132,dialog,ROTH,
713,132,direction,,
714,132,dialog,DOYLE,(points to map);(BEAT)
715,132,dialog,BRAND,
716,132,dialog,DOYLE,
717,132,dialog,BRAND,
718,132,dialog,DOYLE,
719,132,dialog,BRAND,(MORE)
720,132,dialog,BRAND,(CONT'D)
721,132,dialog,COOPER,
722,132,dialog,BRAND,(ANNOYED)
723,132,dialog,DOYLE,
724,132,direction,,
725,132,dialog,ROTH,
726,132,direction,,
727,132,dialog,DOYLE,
728,132,dialog,ROTH,(off his look);(SHAKES HEAD)
729,132,dialog,DOYLE,
730,132,dialog,ROTH,(SHRUGS);(SMILES)
731,132,direction,,
732,132,direction,,
733,133,scene,,
734,134,direction,,
735,134,direction,,
736,134,dialog,BRAND'S FATHER,
737,134,dialog,COOPER,"(to Tars, sarcastic)"
738,134,direction,,
739,134,dialog,TARS,
740,134,direction,,
741,134,dialog,TARS,(CONT'D)
742,134,direction,,
743,134,direction,,
744,134,dialog,BRAND'S FATHER,
745,134,direction,,
746,135,scene,,
747,136,direction,,
748,136,direction,,
749,137,scene,,
750,138,direction,,
751,138,dialog,COOPER,
752,138,direction,,
753,138,dialog,BRAND,
754,138,direction,,
755,138,dialog,BRAND,(CONT'D)
756,138,direction,,
757,138,direction,,
758,139,scene,,
759,140,direction,,
760,141,scene,,
761,142,direction,,
762,142,direction,,
763,143,scene,,
764,144,direction,,
765,145,scene,,
766,146,direction,,
767,147,scene,,
768,148,direction,,
769,148,direction,,
770,148,direction,,
771,149,scene,,
772,150,direction,,
773,150,direction,,
774,151,scene,,
775,152,direction,,
776,152,direction,,
777,152,direction,,
