"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-15-1988",2020-07-07,"WW01666","Chromium","µg/L",0.475,0.0176,0.05,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","Chromium","µg/L",0.434,0.0176,0.05,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","Chromium","µg/L",0.073,0.0176,0.05,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","Chromium","µg/L",0.358,0.0176,0.05,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","Chromium","µg/L",0.258,0.0176,0.05,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","Chromium","µg/L",0.465,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","Conductivity","µS/cm",370,5,NA,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","Conductivity","µS/cm",260,5,NA,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","Conductivity","µS/cm",260,5,NA,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","Conductivity","µS/cm",330,5,NA,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","Conductivity","µS/cm",260,5,NA,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","Conductivity","µS/cm",340,5,NA,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","Conductivity","µS/cm",270,5,NA,"not.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","Conductivity","µS/cm",420,5,NA,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","Conductivity","µS/cm",210,5,NA,"not.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","Conductivity","µS/cm",450,5,NA,"not.censored",4217592.3,909964.400000006
